prov_code,prov_name,city_code,city_name,county_code,county_name,town_code,town_name,village_code,village_name
520000000000,贵州省,520500000000,毕节市,520526000000,威宁彝族回族苗族自治县,520526003000,六桥街道办事处,520526003015,塔山社区居民委员会
520000000000,贵州省,520500000000,毕节市,520526000000,威宁彝族回族苗族自治县,520526003000,六桥街道办事处,520526003016,富民社区居民委员会
530000000000,云南省,530900000000,临沧市,530925000000,双江拉祜族佤族布朗族傣族自治县,530925101000,勐勐镇,530925101001,公很社区
530000000000,云南省,530900000000,临沧市,530925000000,双江拉祜族佤族布朗族傣族自治县,530925101000,勐勐镇,530925101002,新村社区
530000000000,云南省,530900000000,临沧市,530925000000,双江拉祜族佤族布朗族傣族自治县,530925101000,勐勐镇,530925101201,千蚌村委会
530000000000,云南省,530900000000,临沧市,530925000000,双江拉祜族佤族布朗族傣族自治县,530925101000,勐勐镇,530925101202,大荒田村委会
530000000000,云南省,530900000000,临沧市,530925000000,双江拉祜族佤族布朗族傣族自治县,530925101000,勐勐镇,530925101203,闷乐村委会
530000000000,云南省,530900000000,临沧市,530925000000,双江拉祜族佤族布朗族傣族自治县,530925101000,勐勐镇,530925101204,千福村委会
530000000000,云南省,530900000000,临沧市,530925000000,双江拉祜族佤族布朗族傣族自治县,530925101000,勐勐镇,530925101205,忙乐村委会
520000000000,贵州省,520500000000,毕节市,520526000000,威宁彝族回族苗族自治县,520526004000,陕桥街道办事处,520526004204,高坪村民委员会
520000000000,贵州省,520500000000,毕节市,520526000000,威宁彝族回族苗族自治县,520526004000,陕桥街道办事处,520526004207,新义村民委员会
520000000000,贵州省,520500000000,毕节市,520526000000,威宁彝族回族苗族自治县,520526004000,陕桥街道办事处,520526004208,新发村民委员会
520000000000,贵州省,520500000000,毕节市,520526000000,威宁彝族回族苗族自治县,520526004000,陕桥街道办事处,520526004209,新林村民委员会
520000000000,贵州省,520500000000,毕节市,520526000000,威宁彝族回族苗族自治县,520526004000,陕桥街道办事处,520526004210,新坪村民委员会
520000000000,贵州省,520500000000,毕节市,520526000000,威宁彝族回族苗族自治县,520526004000,陕桥街道办事处,520526004211,天龙村民委员会
520000000000,贵州省,520500000000,毕节市,520526000000,威宁彝族回族苗族自治县,520526004000,陕桥街道办事处,520526004212,大山村民委员会
520000000000,贵州省,520500000000,毕节市,520526000000,威宁彝族回族苗族自治县,520526003000,六桥街道办事处,520526003017,鸭子塘社区居民委员会
520000000000,贵州省,520500000000,毕节市,520526000000,威宁彝族回族苗族自治县,520526003000,六桥街道办事处,520526003018,草海社区居民委员会
520000000000,贵州省,520500000000,毕节市,520526000000,威宁彝族回族苗族自治县,520526003000,六桥街道办事处,520526003019,大马城社区居民委员会
530000000000,云南省,530900000000,临沧市,530925000000,双江拉祜族佤族布朗族傣族自治县,530925101000,勐勐镇,530925101206,南宋村委会
530000000000,云南省,530900000000,临沧市,530925000000,双江拉祜族佤族布朗族傣族自治县,530925101000,勐勐镇,530925101207,邦迈村委会
530000000000,云南省,530900000000,临沧市,530925000000,双江拉祜族佤族布朗族傣族自治县,530925101000,勐勐镇,530925101208,大吉村委会
530000000000,云南省,530900000000,临沧市,530925000000,双江拉祜族佤族布朗族傣族自治县,530925101000,勐勐镇,530925101209,那布村委会
530000000000,云南省,530900000000,临沧市,530925000000,双江拉祜族佤族布朗族傣族自治县,530925101000,勐勐镇,530925101210,忙建村委会
530000000000,云南省,530900000000,临沧市,530925000000,双江拉祜族佤族布朗族傣族自治县,530925101000,勐勐镇,530925101211,彝家村委会
530000000000,云南省,530900000000,临沧市,530925000000,双江拉祜族佤族布朗族傣族自治县,530925101000,勐勐镇,530925101212,细些村委会
530000000000,云南省,530900000000,临沧市,530925000000,双江拉祜族佤族布朗族傣族自治县,530925102000,勐库镇,530925102201,城子村委会
530000000000,云南省,530900000000,临沧市,530925000000,双江拉祜族佤族布朗族傣族自治县,530925102000,勐库镇,530925102202,亥公村委会
530000000000,云南省,530900000000,临沧市,530925000000,双江拉祜族佤族布朗族傣族自治县,530925101000,勐勐镇,530925101213,红土村委会
530000000000,云南省,530900000000,临沧市,530925000000,双江拉祜族佤族布朗族傣族自治县,530925101000,勐勐镇,530925101214,章外村委会
530000000000,云南省,530900000000,临沧市,530925000000,双江拉祜族佤族布朗族傣族自治县,530925101000,勐勐镇,530925101215,同化村委会
530000000000,云南省,530900000000,临沧市,530925000000,双江拉祜族佤族布朗族傣族自治县,530925102000,勐库镇,530925102203,那赛村委会
530000000000,云南省,530900000000,临沧市,530925000000,双江拉祜族佤族布朗族傣族自治县,530925102000,勐库镇,530925102204,邦渎村委会
530000000000,云南省,530900000000,临沧市,530925000000,双江拉祜族佤族布朗族傣族自治县,530925102000,勐库镇,530925102205,那蕉村委会
